sx,sx2,sy,sy2,gamma,delta
18703.844084,9992.08040273,25067.6204701,14737.8455297,0.92,1.56
21536.972317,14032.7801918,24353.5377722,14314.509582,0.32,1.64
17121.725962,8352.74548103,29510.621101,19730.9559983,1.08,1.16
16153.775863,7538.06431168,38548.689737,33162.5815746,0.6,0.28
10962.6610041,2920.59499073,39340.283752,34532.4903069,1.92,0.28
15878.836467,6944.36256757,31646.544304,22482.0795194,1.36,0.96
10925.9232943,2891.97187374,39854.750652,35444.5125064,1.92,0.24
16847.090533,7936.23141269,33620.432235,25287.7461526,1.04,0.76
15133.926076,6376.86597898,32380.94664,23513.8619542,1.36,0.92
15500.6993362,6634.87770689,34278.302487,26258.9211131,1.04,0.72
18615.61118,9707.71376908,22893.2555514,12549.0065344,1.2,1.76
16442.938495,7617.79530425,28427.087132,18396.4759586,1.12,1.28
18185.265852,9346.55050777,23388.8389849,12989.0012152,1.2,1.72
16995.579837,8169.53337169,28756.660221,18812.4975564,1.12,1.24
13123.3829383,4511.99332778,36988.28526,30514.4054884,1.56,0.48
16027.83553,7122.70701281,34197.737855,26142.8932545,1.24,0.72
12798.9079104,4226.03670963,37507.626351,31380.0485564,1.56,0.44
14784.497525,5967.90335344,33984.551833,25814.0630961,1.24,0.76
19083.251051,10480.3165501,20869.190771,10844.5870308,1.12,2
13216.3697102,4598.959264,41819.693618,39075.6695116,1.12,0
16814.571724,7909.55131815,31080.251378,21719.8024234,1.12,1
13836.697263,5109.22147179,33724.296039,25421.9817996,1.56,0.8
13240.30366,4561.8484621,35811.355369,28616.3592664,1.56,0.6
12881.3706479,4265.55106671,37988.03643,32191.3129363,1.56,0.4
12123.5959165,3720.2238761,40008.002925,35723.0556821,1.56,0.2
23523.63144,16166.7226307,21640.1110117,11571.301416,0.32,1.8
13393.232013,4677.27422223,29572.35824,19742.0739086,1.92,1.2
20810.454941,12876.7175563,24704.8882994,14543.7731943,0.32,1.6
20898.190794,12824.5806576,26310.0729517,16058.7393187,0.32,1.4
20897.437641,12881.5499963,28442.5348,18500.7398137,0.32,1.2
18781.554947,10092.7855781,24923.764011,14557.9149886,1.04,1.56
10452.7505694,2608.78352655,41105.211507,37715.581522,1.88,0.12
19790.021804,11062.8962474,20458.380706,10496.9276173,1.16,2
11012.9798346,2937.66582705,40665.922073,36906.1451219,1.88,0.16
13331.5207531,4687.98229929,41950.166467,39307.3884851,1.16,0
16194.493212,7275.72719109,31197.118934,21873.0052207,1.16,1
17702.227531,9118.75431219,31202.977784,21938.8193201,0.76,1
14508.596186,5647.78843463,27862.174531,17697.241235,1.76,1.36
15975.566659,7244.04975264,34455.69001,26529.256321,2,0.68
13468.7335119,4720.22995055,37041.874286,30607.691867,1.52,0.48
22761.564994,15270.870091,26701.2592328,16513.7256957,0.08,1.32
13743.764293,5036.93722382,35234.284659,27711.3300594,2,0.64
16530.548176,7645.32817007,29509.310373,19703.0040513,1.24,1.16
17433.061669,8484.56159279,34864.228654,27162.5238105,0.84,0.64
16711.574405,7861.39124961,29893.193121,20194.3905737,1.24,1.12
18020.936734,9406.635107,30711.647269,21297.9805023,0.8,1.04
14840.616551,5949.99557778,31889.377881,22810.8294507,1.48,0.96
18268.525185,9577.59992455,30071.127208,20442.6393561,0.8,1.08
14433.913522,5576.9299022,32325.970615,23408.341954,1.48,0.92
22290.529432,14650.5484829,26399.5328011,16184.7880008,0.08,1.36
20079.896166,11859.5724159,29024.956985,19176.1255483,0.44,1.16
20457.345286,12223.725971,29280.305418,19475.273782,0.44,1.12
15168.438753,6292.88132418,29831.120813,20111.9351637,1.48,1.16
13136.269696,4465.33383935,29185.256722,19244.2122759,2,1.24
15384.588169,6372.91135155,29908.255901,20156.371752,1.48,1.12
15743.135532,6791.73897379,28062.837413,17885.2682524,2,1.28
19111.034425,10409.6333894,32417.255879,23573.3009567,0.8,0.84
23119.922256,15684.9512474,28735.416647,18855.1918084,0,1.12
14870.028183,6054.61275054,30148.785247,20494.1343136,0,1.16
12137.6208973,3726.35230861,39997.861765,35705.6514656,1.52,0.2
13754.637182,5034.22070996,35752.260682,28522.919316,1.52,0.6
17767.114535,8762.62063791,32362.38477,23477.9504216,0.04,0.88
12473.937344,3966.06366844,38002.263262,32213.1834393,1.52,0.4
16548.790066,7728.00576916,36647.823369,29976.3778262,0.8,0.48
21247.420855,13533.4965899,32220.946471,23354.0029922,0.04,0.84
14078.671647,5303.17739503,33702.31618,25391.2736639,1.52,0.8
23370.916808,15804.8263798,20794.1515923,10975.9196988,0.44,1.92
23034.142841,15599.9983274,21216.3969832,11345.148909,0.28,1.92
20500.294295,12554.3345048,31922.174424,22934.5785389,0.2,0.88
19163.545635,10750.190286,31751.034054,22674.2396924,0,0.92
21397.182434,13773.1113086,31025.39916,21753.5136956,0,0.96
20507.164431,12394.9864256,32272.274213,23401.9544891,0.2,0.84
14450.78818,5509.83174636,28792.978185,18756.7432564,1.8,1.24
14794.50692,5926.41721848,32732.9957,23990.8701622,1.4,0.88
18293.72982,9572.75235629,28038.46885,17954.6488808,0.88,1.28
18993.827488,10491.9973288,28387.279738,18431.013949,0.88,1.24
14103.328138,5289.41922915,28777.610203,18804.0255158,1.8,1.28
12841.7370337,4282.71500977,35055.843438,27429.3982461,1.64,0.68
21556.518912,13798.4923958,32094.24581,23173.3037843,0.16,0.84
18903.6924,10415.7807887,33495.931335,25128.4604117,0,0.76
16979.255561,8089.16677244,34283.113729,26274.4522732,0,0.72
13706.295599,4930.75126472,28392.947615,18310.6866443,1.88,1.32
17913.921363,9237.11371683,32283.711544,23391.3183285,0.8,0.88
13203.2475296,4547.83799202,35404.01656,27971.3114092,1.64,0.64
22791.251049,15026.6585538,31378.218506,22181.1213516,0.16,0.88
18076.88256,9230.25599097,24900.8601419,14464.0153566,1.16,1.56
21955.183278,13855.0673245,24848.9992344,14447.7750836,0.48,1.48
15116.354408,6157.38851794,28419.80663,18350.3160024,1.6,1.28
20696.854689,12685.6445593,26056.4142084,15894.6425134,0.48,1.44
21949.270163,14233.125664,25217.686071,14953.9111243,0.28,1.48
23368.497658,15876.3499062,25041.0901511,14717.864365,0.28,1.44
14143.610814,5415.78922765,29420.328216,19611.6992888,1.6,1.24
22316.434491,14774.3073915,21846.5631757,11948.9775924,0.4,1.88
